name	@lat	@lon	population
São Paulo	-23.5506507	-46.6333824	11451999
Taboão da Serra	-23.6121912	-46.7790539	273542
São Bernardo do Campo	-23.7080345	-46.5506747	810729
São Caetano do Sul	-23.6195923	-46.5688323	165655
Campinas	-22.9056391	-47.0595640	1139047
Osasco	-23.5324859	-46.7916801	728615
Piracicaba	-22.7251650	-47.6493269	423323
Jundiaí	-23.1887668	-46.8845060	443221
Americana	-22.7392463	-47.3306032	237240
Sumaré	-22.8217964	-47.2671050	279545
Hortolândia	-22.8620175	-47.2164219	236641
Limeira	-22.5615068	-47.4017660	291869
Itu	-23.2637798	-47.2998462	168240
Sorocaba	-23.5003451	-47.4582864	723682
Santos	-23.9335988	-46.3286399	418608
Peruíbe	-24.3218105	-46.9977452	68352
Leme	-22.1844807	-47.3852950	98161
Rio Claro	-22.4100108	-47.5603933	201418
Araras	-22.3569192	-47.3838766	130866
Itaquaquecetuba	-23.4754492	-46.3514033	369275
Suzano	-23.5427842	-46.3108391	307429
Guarujá	-23.9927768	-46.2558332	287634
Barueri	-23.5112184	-46.8764612	316473
Embu das Artes	-23.6495294	-46.8528497	250691
Praia Grande	-24.0089790	-46.4144939	349935
Itapevi	-23.5488800	-46.9338890	232297
Cotia	-23.6038890	-46.9188890	274413
Jacareí	-23.3050682	-45.9723075	240275
Pindamonhangaba	-22.9364000	-45.4622602	165428
Caraguatatuba	-23.6202800	-45.4130600	134873
Ilhabela	-23.8166280	-45.3686850	34934
Serra Negra	-22.6126459	-46.6999860	29894
Morungaba	-22.8800000	-46.7916700	13720
Valinhos	-22.9705600	-46.9958300	126373
Vinhedo	-23.0298535	-46.9749847	76540
Amparo	-22.7011100	-46.7644400	68008
Louveira	-23.0863900	-46.9505600	51847
Jarinu	-23.0949649	-46.7148565	37535
Atibaia	-23.1177393	-46.5547861	158647
Igaratá	-23.2063475	-46.1569340	10605
Nazaré Paulista	-23.1819309	-46.3992986	18217
Indaiatuba	-23.0908356	-47.2180677	255748
Itupeva	-23.1531055	-47.0580347	70616
Votorantim	-23.5383101	-47.4422496	127923
São Roque	-23.5304843	-47.1355473	79484
Alumínio	-23.5203479	-47.2575256	17301
Mairiporã	-23.3190348	-46.5876377	93853
Jordanésia	-23.3343981	-46.8403370	24313
Francisco Morato	-23.2817308	-46.7448996	165139
Franco da Rocha	-23.3328038	-46.7244460	144849
Várzea Paulista	-23.2113889	-46.8283333	115771
Cajamar	-23.3561111	-46.8769444	92689
Aparecida	-22.8515520	-45.2340924	32569
Araçariguama	-23.4388277	-47.0613084	21522
Santana de Parnaíba	-23.4446715	-46.9167722	154105
Pirapora do Bom Jesus	-23.3972146	-47.0025661	18370
Cabreúva	-23.3076663	-47.1324726	47011
Orlândia	-20.7202780	-47.8866670	38319
Jardinópolis	-21.0255126	-47.7706807	45282
São Joaquim da Barra	-20.5814993	-47.8608238	48558
Sertãozinho	-21.1375782	-47.9913741	126887
Cravinhos	-21.3402780	-47.7294440	33281
Igarapava	-20.0411748	-47.7476682	26212
Santa Rita do Passa Quatro	-21.7103738	-47.4777943	24833
Ribeirão Preto	-21.1776315	-47.8100983	698642
Pirassununga	-21.9980468	-47.4280861	73545
Mogi Mirim	-22.4331230	-46.9582460	92558
Itapira	-22.4361110	-46.8216670	72022
Mogi Guaçu	-22.3722220	-46.9425000	153658
Águas de Lindóia	-22.4718855	-46.6291034	17930
Lindoia	-22.5229637	-46.6502119	7014
Presidente Prudente	-22.1225167	-51.3882528	225668
São João da Boa Vista	-21.9687099	-46.7969216	92547
Paranapiacaba	-23.7778474	-46.3012913	
Américo Brasiliense	-21.7297099	-48.1052092	33019
Joanópolis	-22.9300040	-46.2752080	12815
São Francisco Xavier	-22.9133573	-45.9593162	1443
Bom Jesus dos Perdões	-23.1353864	-46.4648052	22006
Campos do Jordão	-22.7382990	-45.5903769	46974
São Bento do Sapucaí	-22.6884605	-45.7329767	11674
Jacupiranga	-24.6945594	-48.0024027	16097
Pariquera-Açu	-24.7146891	-47.8802361	19233
Cananéia	-25.0104609	-47.9315628	12289
Iguape	-24.7042692	-47.5563733	29115
Pedro de Toledo	-24.2769071	-47.2339300	11281
São José do Barreiro	-22.6452376	-44.5805246	3853
Cunha	-23.0775300	-44.9567436	22110
Lorena	-22.7367652	-45.1070876	84855
Piquete	-22.6138451	-45.1777096	12490
Bragança Paulista	-22.9520235	-46.5418586	184634
Itanhaém	-24.1848847	-46.7921572	112476
Mogi das Cruzes	-23.5234284	-46.1926671	451505
Biritiba-Ussu	-23.6326790	-46.1152820	
São Silvestre de Jacareí	-23.3660974	-46.0170721	
Nossa Senhora do Remédio	-23.5490193	-45.9637864	
Eugênio de Melo	-23.1392956	-45.7865951	83665
Maresias	-23.7869608	-45.5616448	
Cambaquara	-23.8316772	-45.3892274	
Paranabi	-23.9021076	-45.2440196	
Bairro Alto	-23.4762748	-45.3511981	
Catuçaba	-23.2462587	-45.2042788	
Cocaes	-23.6910662	-47.7343115	
Moreira César	-22.9153215	-45.3641749	40000
Paruru	-23.6914572	-47.3419519	
Morro do Alto	-23.4817290	-47.9585180	
Brigadeiro Tobias	-23.5109779	-47.3690386	
Bacaetava	-23.3844009	-47.6525195	
Cajuru do Sul	-23.3960442	-47.3775714	
Caucaia do Alto	-23.6881283	-47.0213897	
Canguera	-23.6042961	-47.1639993	
Cipó-Guaçu	-23.8776588	-46.7938050	
Mailasqui	-23.5564130	-47.0896940	
